beta,s0,H,GAMMA,measured_sigmax,measured_sigmaz,N_measures,N_attempted_flips,N_accepted_flips,N_attempted_addsegment,N_accepted_addsegment,N_attempted_removesegment,N_accepted_removesegment,max_diagram_order,avg_diagram_order,run_time,N_total_steps,N_thermalization_steps,update_choice_seed,diagram_seed
10,1,-5.55112e-17,0.4,-0.999443,-4.79776e-05,48999999,16663235,16663235,16666654,8554490,16670111,8554488,20,3,3248961000,50000000,1000000,1693787119041630600,1693787119041629800
10,1,-5.55112e-17,0.6,-0.999808,2.75674e-05,48999999,16670482,16670482,16658973,9152069,16670545,9152064,22,5,3508014900,50000000,1000000,1693787122290732000,1693787122290731200
10,1,-5.55112e-17,0.8,-1.0001,-3.23634e-05,48999999,16660140,16660140,16670515,9474595,16669345,9474591,26,8,3745340800,50000000,1000000,1693787125798886000,1693787125798885300
10,1,-5.55112e-17,1,-0.999745,6.30605e-05,48999999,16665568,16665568,16664820,9671957,16669612,9671954,32,9,3902024400,50000000,1000000,1693787129544361200,1693787129544360600
10,1,0.2,1e-10,-0,-0.964108,48999999,16664981,598767,16669208,0,16665811,0,0,0,1665130400,50000000,1000000,1693787133446529700,1693787133446528900
10,1,0.2,0.2,-0.702177,-0.702407,48999999,16668075,2759407,16664755,6273428,16667170,6273428,14,1,2580705800,50000000,1000000,1693787135111796500,1693787135111795600
10,1,0.2,0.4,-0.893995,-0.447016,48999999,16667665,5229465,16666654,8091303,16665681,8091300,18,3,3129686500,50000000,1000000,1693787137692643300,1693787137692642800
10,1,0.2,0.6,-0.94849,-0.315966,48999999,16672835,6837368,16666578,8933054,16660587,8933051,24,5,3484363600,50000000,1000000,1693787140822493400,1693787140822492400
10,1,0.2,0.8,-0.970186,-0.242571,48999999,16668324,7928960,16664975,9377105,16666701,9377102,26,7,3752941700,50000000,1000000,1693787144306996100,1693787144306995400
10,1,0.2,1,-0.980535,-0.196193,48999999,16660025,8717077,16669122,9636991,16670853,9636988,30,9,3975828900,50000000,1000000,1693787148060093200,1693787148060092400
